特征,ACE
A1BG,0.5000554752303997
A2M,0.48068525574904236
A2ML1,0.47904787856940445
A3GALT2,0.49963530189132216
A4GALT,0.4863959325843263
A4GNT,0.4983971182422069
AAAS,0.5210104142768509
AACS,0.5
AADAC,0.49876491021183067
AADACL1,0.4618653679429774
AADACL2,0.4966533084498836
AADAT,0.506703958986874
AAK1,0.474530624292392
AAMP,0.5029343993662265
AANAT,0.4914296481190326
AARS,0.5014850505648377
AARSD1,0.5
AASDHPPT,0.5030822165526253
AASS,0.5015657059876665
AATF,0.48690863303140725
AATK,0.4795495595123272
ABAT,0.4854732275051305
ABCA1,0.5016697529558581
ABCA10,0.4901414268842405
ABCA11,0.490550838602699
ABCA12,0.49371418183679716
ABCA13,0.49945306160842423
ABCA2,0.47110511416713885
ABCA3,0.4968108117908646
ABCA4,0.4910818213367445
ABCA5,0.48714474989437545
ABCA6,0.4948302005941343
ABCA7,0.49447222360144855
ABCA8,0.4915089976790818
ABCA9,0.47697196769137035
ABCB1,0.49774581450573374
ABCB10,0.48533549114324476
ABCB11,0.4901951505777702
ABCB4,0.5032243745418651
ABCB5,0.48260164974336983
ABCB6,0.48676203751334407
ABCB7,0.4859970041293611
ABCB8,0.4984152237787063
ABCB9,0.5
ABCC1,0.4980770728780337
ABCC10,0.48223486542534216
ABCC11,0.48214712970385853
ABCC12,0.4906880250247182
ABCC13,0.49372631532821065
ABCC2,0.4818816763270353
ABCC3,0.48077323099481667
ABCC4,0.4932236451473299
ABCC5,0.4995166950771856
ABCC6,0.4961194802135462
ABCC8,0.49027545481604196
ABCC9,0.5
ABCD1,0.5025272668303647
ABCD2,0.4719887421928651
ABCD3,0.48920362348591173
ABCD4,0.485814515034269
ABCE1,0.48682080437530995
ABCF1,0.47207412193282056
ABCF2,0.4964394384128548
ABCF3,0.48638554898474035
ABCG1,0.4883470496848545
ABCG2,0.4981755439056563
ABCG4,0.48910687195265073
ABCG5,0.4885519219017756
ABCG8,0.4888590335530537
ABHD1,0.49012500571182516
ABHD10,0.4893114062525852
ABHD11,0.48187504370301537
ABHD12,0.48561180090916917
ABHD13,0.49456070939011176
ABHD14A,0.4885400385936297
ABHD14B,0.48212790356766244
ABHD2,0.48480727792424805
ABHD3,0.4877152984181272
ABHD4,0.4855080088778229
ABHD5,0.48207254304443836
ABHD6,0.4655531988763754
ABHD7,0.48153114018821763
ABHD8,0.4924180657040899
ABHD9,0.5004419771745099
ABI1,0.5033295559035723
ABI2,0.48628020738007005
ABI3,0.4884642717408016
ABI3BP,0.48774230667858615
ABL1,0.4891591932028726
ABL2,0.4923901206426623
ABLIM1,0.5043286332902523
ABLIM2,0.4880695545543059
ABLIM3,0.48747701434410134
ABO,0.4975269944151518
ABP1,0.4973114334666523
ABR,0.482320312590021
ABRA,0.4855497980473697
ABT1,0.4998466685670096
ABTB1,0.4872810642068813
ABTB2,0.4980281413771293
ACAA1,0.4680556863557801
ACAA2,0.49692264380178924
ACACA,0.4999860727789585
ACACB,0.485070685445429
ACAD10,0.49112131336392517
ACAD11,0.5074175527133218
ACAD8,0.49890492560140304
ACAD9,0.48950491643022326
ACADL,0.4879645229642671
ACADM,0.4912070558522477
ACADS,0.4928434924261279
ACADSB,0.4938035569587923
ACADVL,0.46685896811733407
ACAT1,0.4913606868458339
ACAT2,0.48651193054138026
ACBD3,0.4989310531388762
ACBD4,0.4904599293258503
ACBD5,0.49173195093075894
ACBD6,0.48333008778779546
ACCN1,0.5
ACCN2,0.5
ACCN3,0.4922290205522882
ACCN4,0.49279156448712175
ACCN5,0.5
ACD,0.49207200074395735
ACE,0.496028398602777
ACE2,0.4924414281988473
ACHE,0.5034617157784105
ACIN1,0.48081804178807663
ACLY,0.5
ACMSD,0.49728750237952596
ACN9,0.47779265919518255
ACO1,0.4873294900447515
ACO2,0.48647428585510716
ACOT11,0.4786226955185577
ACOT12,0.48888298339195674
ACOT2,0.4903165137679132
ACOT4,0.4771918772003048
ACOT7,0.48550097579465407
ACOT8,0.484811211148271
ACOT9,0.48651356661299755
ACOX1,0.49053320479392104
ACOX2,0.4864344114169565
ACOX3,0.4980773203442962
ACOXL,0.4912613850837673
ACP1,0.4991121113190971
ACP2,0.4864811782230003
ACP5,0.48841839126946396
ACP6,0.5074428052407136
ACPL2,0.5034294548979235
ACPP,0.49243692220084534
ACPT,0.5009689912510302
ACR,0.495211831949774
ACRBP,0.4934143265813136
ACRC,0.5
ACRV1,0.4906499526347814
ACSBG1,0.4855943446505433
ACSBG2,0.48847556784269036
ACSL1,0.4972612085683197
ACSL3,0.46708497365994783
